name,content,category,labels
瑶里景区景区,景色优美，值得一去，天青色等烟雨！,风景,0
瑶里景区景区,"古镇景色还不错，夜景值得观赏，不值得买票。古镇可以免费参观，门票在古镇里只是包含几个特殊的民居，门票内古镇外的景点距离古镇都比较远，有些分散，狮岗胜览距离古镇也有20多分钟车程，如果时间充足的话可以去看。

当地居民的家在古镇内，一般游客也不会主动去参观。但是景区游览牌标识的景点，有的就是当地居民的家，这个标识牌并没有注明，让人以为只是一个名人旧居景点，结果进去才被告知是人家里，平白被数落一遍。
​
​当时真的很生气，跟着导览牌来到了一个旧居，爹说要门票才能进去，向他出示了门票后让我们进去了。因为厅堂通向其它地方的门都关着了，所以问了爹是不是只有厅堂这里可以参观。爹就突然冲我们发火，说这是他家，根本就不是景点，让我们找到票面写明门票包含这个旧宅的字样；强调导览牌只是指示了这个地方，没有说这个地方可以进去。明最开始是爹在门口说要票才能进去的，劈头盖脸一顿数落，人都懵了。想着毕竟是人家里，打扰到人家也不好，非常尴尬地离开了。但是心里真的很不爽。建议景区和当地居民沟通一下，如果谢绝参观，请去掉景点标识牌，或在景点门口增加一个“私人住宅，谢绝参观”。",风景/门票,0|1
瑶里景区景区,风景秀丽，建筑有特色，山水古建相互融合，展现了美丽多姿的民居文化,风景/建筑/历史文化,0|9|8
瑶里景区景区,环境很优美，大部分景点都是免费的,风景/门票,0|1
瑶里景区景区,规划的非常好，环境非常优美,风景,0
瑶里景区景区,"进到瑶里 仿佛置身于世外桃源一般 即使外面快40度的温度 但这里依然清爽舒适  去的话建议不需要买门票 
就光在里面闲逛 都能让你全身心的舒展 碱水粑或许是这里独一无二的特色了吧 家户门口都会支起一个小摊 小凳 摆放着长形的 圆形的碱水粑，呈土黄色，会有一股清香可用鸡蛋炒，可用丝瓜煮，吃起来软硬适中，很有嚼劲，傍晚，坐在河旁，吃着碱水粑，享受大自然带来的惬意，无不满足，带着孩子  家人 去享受这美好的暑假吧",门票/餐饮服务,1|3
瑶里景区景区,直接去拍照打卡，逛还行，门票不值，就是几个特色名居，外面更好看一些,拍照/门票,10|1
瑶里景区景区,⚠️门票：瑶里古镇是免费的，是免费的，是免费的。110元的票价是古镇中的陈毅旧居，程氏宗祠，狮岗胜览以及需要开车去的另外处的四个景点（其中有一个瀑布，距离古镇近20公里，听村民说由于今年大旱已经干了）。所以只想看古镇村貌的无需购票！我的这些照片都是在免费的区域照哒☺️❤️ ⚠️住宿：古镇里有民宿也有餐馆。 ⚠️停车场：免费,门票/拍照/住宿/停车,1|10|4|11
瑶里景区景区,瑶里景区很大，分为好几个区域，距离很近，游玩时间不宽裕的同学建议不要买通票！去哪里玩可以再买小景区票，不贵，自由选择即可，有些区域看着好像还没有完全开发，比较原生态，景色自然。,门票/风景,1|0
瑶里景区景区,景区内需要门票的景点大部分是一些历史景点，包括一些红色景点，对历史感兴趣的可以买票购买一下，我是学生票55块钱，感觉性价比还行，全票110，在我看来有点略贵了，大家可以自己衡量,门票,1
瑶里景区景区,挺有特色的，值得游览。套票划算，想玩全要早点去，春节出游，回程堵车。,门票/交通,1|2
瑶里景区景区,通票，我们只是转了古镇。,门票,1
瑶里景区景区,瑶里古镇，不光只有古镇，还有周边的一些风景区，我觉得非常值得推荐。从高岭公园的土壤，到东埠镇的码头，是景德镇瓷器的运输之路。从汪胡的瀑布和竹林，到瑶里的古镇，则又是一条风景之旅。一路走一路欣赏，对瓷器之都有了深入的了解和认识。,风景,0
瑶里景区景区,沿河而建，和全国的古城一样卖小商品的。,购物,5
瑶里景区景区,瑶里景区，没什么人，很好逛，现在免门票，但是售票大厅已经建好，所以要来的话就尽早来吧，如果收门票的话，我个人觉得就不值得了。,门票,1
瑶里景区景区,主要古镇不错，带孩子可以玩水，古镇吃饭价格也适中没有乱宰客，今天大太阳还是有点小热要注意防晒。,餐饮服务,3
瑶里景区景区,商业开发的还不是很厉害，乡间小路一边欣赏美景一边戏水，溪水很清澈，当地人都在洗菜洗衣服。食材好所以很新鲜，跟城里的饭菜真的很不一样。外表很粗燥，味道却很棒！古镇量小，还是很有文化底蕴，震撼于古代的宗祠，还有这里烟火自由。,风景/餐饮服务/历史文化,0|3|8
瑶里景区景区,如果你不是特别喜欢建筑的木构件，建议只在瑶里镇上走，不必买票去景点。龙鳞坝和木桥边的大樟树都是人像摄影取景的好地方。晚上可以上雕花桥看文艺表演，有渔父划船，女子翩起舞，赞！强烈建议住一晚，并趁次日一早旅游大军未到时细品小镇的寻常人家，瑶河浣衣……,建筑/门票/拍照/娱乐,9|1|10|6
瑶里景区景区,夜晚的瑶里古镇如同一位披着面纱的美女，在河边吹着风，听美女弹琴跳舞，好像穿越到古代,风景,0
瑶里景区景区,夜景不错，苦槠豆腐第一次吃，觉得满好吃的。印象最深的是窑址，古人用水力代替人力研磨瓷器的土胚。希望当地官员好请专业人员规划景区，充分利用现存木雕古建筑。,风景/餐饮服务/建筑,0|3|9
瑶里景区景区,可以去六个景点，其中一个就是瑶里古镇，瑶里古镇若不看博物馆是免费的。其它五个必须自驾才方便游玩，一天足够。其中高岭村和南山瀑布给我留下印象深刻。,门票,1
瑶里景区景区,瑶里位于景德镇市50公里左右的山上，一路自驾，感觉山路很美。瑶里古镇游客不算太多，古镇保留了老式的韵味，走看，不仅能感受山里古镇的宁静，也了解了不少当地的特色和文化，感觉很值得。,风景/历史文化,0|8
瑶里景区景区,我擦，晕死，在网上订了98的票，结果到了瑶里景区才知道瑶里古镇根本就不需要票，只有景区里面的几个房子进去才要票，而且买的票是瑶里附近4个景点的联票，瑶里一个景点的票实际只要30块钱。最远的汪湖还得往山上开14公里的样子。建议来玩的不要在网上购票，去瑶里玩不进房子里参观就别买票。,门票,1
